time,soil_moisture,temperature,air_humidity
1586776633,403,23.80,80.00
1586777478,403,23.90,84.00
1586778323,403,23.90,83.00
1586779188,397,23.80,86.00
1586780035,403,23.80,91.00
1586780887,403,23.90,87.00
1586781741,403,24.00,87.00
1586782591,398,24.10,89.00
1586783445,403,24.10,90.00
1586784284,404,24.10,90.00
1586785126,403,24.10,75.00
1586785973,403,24.10,83.00
1586786836,403,24.10,85.00
1586787684,403,24.10,88.00
1586788540,399,24.20,90.00
1586789408,399,24.10,92.00
1586790255,403,24.10,92.00
1586791104,404,24.10,93.00
1586791953,404,24.20,94.00
1586792804,404,24.20,95.00
1586793658,404,24.20,95.00
1586794508,404,24.20,95.00
1586795355,399,24.20,95.00
1586796156,404,24.20,95.00
1586797009,404,24.20,95.00
1586797880,404,24.20,95.00
1586798731,399,24.20,95.00
1586799580,404,24.10,95.00
1586800430,404,24.10,95.00
1586801276,404,24.10,95.00
1586802137,404,24.20,95.00
1586802984,404,24.20,95.00
1586803892,404,24.20,95.00
1586804751,404,24.20,95.00
1586805604,404,24.20,95.00
1586806456,399,24.20,95.00
1586807296,404,24.20,95.00
1586808152,404,24.20,95.00
1586809020,399,24.30,95.00
1586809876,404,24.30,95.00
1586810721,404,24.30,95.00
1586811568,404,24.40,95.00
1586812410,405,24.30,95.00
1586813253,405,24.30,93.00
1586814098,405,24.30,91.00
1586814943,405,24.30,91.00
1586815786,405,24.30,92.00
1586816631,405,24.30,92.00
1586817477,405,24.30,93.00
1586818321,405,24.20,93.00
1586819166,400,24.20,94.00
1586820010,401,24.20,92.00
1586820853,401,24.20,93.00
1586821698,405,24.20,89.00
1586822544,405,24.20,93.00
1586823391,406,24.20,93.00
1586824239,406,24.20,93.00
1586825089,401,24.20,92.00
1586825959,406,24.10,93.00
1586826812,406,24.10,90.00
1586827659,406,24.10,88.00
1586828505,406,24.10,88.00
1586829350,406,24.10,87.00
1586830204,408,24.10,86.00
1586831051,403,24.00,87.00
1586831892,408,24.00,85.00
1586832736,408,24.00,87.00
1586833583,403,24.00,86.00
1586834432,408,24.00,84.00
1586835278,409,24.00,85.00
1586836125,404,24.00,84.00
1586836971,406,24.00,85.00
1586837814,408,24.00,85.00
1586838658,408,24.00,85.00
1586839501,409,24.00,85.00
1586840347,410,24.00,78.00
1586841194,404,24.00,85.00
1586842039,410,24.00,85.00
1586842880,410,24.00,85.00
1586843721,410,24.00,85.00
1586844564,410,24.00,85.00
1586845418,411,24.00,85.00
1586846267,412,24.00,84.00
1586847113,412,24.00,85.00
1586847967,412,23.80,88.00
1586848848,412,23.80,92.00
1586849699,412,23.90,94.00
1586850766,412,23.90,94.00
1586851594,412,24.00,94.00
1586852412,413,24.00,94.00
1586853415,413,24.10,92.00
1586854278,406,24.20,92.00
1586855249,413,24.20,92.00
1586856095,413,24.20,92.00
1586856931,406,24.20,85.00
1586857766,413,24.20,89.00
1586858611,413,24.20,89.00
1586859441,408,24.20,89.00
1586860266,413,24.20,89.00
1586861100,413,24.20,88.00
1586861936,414,24.20,89.00
1586862766,414,24.20,89.00
1586863606,414,24.20,88.00
1586864447,414,24.20,88.00
1586865282,414,24.20,89.00
1586866116,414,24.20,79.00
1586866947,414,24.20,95.00
1586867801,415,24.20,95.00
1586868651,414,24.20,95.00
1586869517,414,24.30,95.00
1586870398,414,24.20,81.00
1586871245,415,24.20,94.00
1586872092,415,24.30,95.00
1586872939,415,24.30,94.00
1586873789,415,24.30,94.00
1586874638,415,24.30,81.00
1586875493,415,24.40,93.00
1586876331,415,24.30,93.00
1586877172,415,24.40,93.00
1586878022,415,24.30,92.00
